;[Bacteroides]_pectinophilus_ATCC_43243;-  Human, Homo sapiens Host-associated 
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1298/2179;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1307/2188;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1309/2191;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1328/2211;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1334/2217;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1342/2226;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1348/2234;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1348/2237;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1352/2240;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1354/2241;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1356/2244;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1357/2245;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1365/2253;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1373/2263;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1381/2271;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1382/2273;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1388/2281;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1390/2283;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1394/2287;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1395/2288;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1396/2289;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1396/2304;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_140/1040,2;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1413/2309;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1423/2324;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1424/2328;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1424/2329;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1433/2338;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1442/2349;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1443/2351;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1448/2356;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1448/2382;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1461/2371;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1463/2375;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1464/2376;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1465/2377;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1471/2386;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1472/2387;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1489/2411;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1491/2413;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1498/2420;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1501/2424;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1514/2442;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1533/2460;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1539/2468;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1545/2475;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1545/2475;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1546/2500;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1546/2500;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1548/2482;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1556/2492;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1574/2511;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1584/2521;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1589/2527;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1591/2529;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1591/2529;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1592/2530;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_160/1080,2;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1601/2543;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1602/2544;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1604/2548;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1606/2552;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1606/2554;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1609/2559;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1609/2560;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1611/2562;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1621/2574;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1624/2578;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1633/2589;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1643/2603;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1652/2616;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1654/2618;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1663/2633;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1671/2641;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1682/2653;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1685/2660;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1686/2661;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1690/2666;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1691/2667;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1713/2686;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1719/2692;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1721/2694;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1722/2695;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1723/2696;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1729/2703;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1737/2713;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1754/2734;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1768/2754;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1775/2763;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1775/2764;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1775/2765;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1780/2772;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1781/2773;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1787/2779;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1787/2780;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1789/2782;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1803/2798;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1828/2823;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1851/2844;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1853/2846;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1853/2848;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1868/2868;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1893/2912;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1901/2915;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1901/2916;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1903/2919;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1915/2933;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1934/2945;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1939/2951;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1947/2958;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1951/2962;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1983/2989;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1983/3063;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1986/2993;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_1999/3009;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_2000/3010,1;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_2000/3010,2;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_2005/3015;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_2047/3062;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_2061/3084;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_2102/3132;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_2116/3150;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_2143/3182;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_234-12;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_234-12;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_234-12;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_234-12;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_291_EBAC;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864735;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864736;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864737;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864738;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864739;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864740;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864742;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864744;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864746;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864747;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864748;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864749;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864752;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864753;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864754;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864755;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864757;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864759;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864760;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864761;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864763;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864765;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864770;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864771;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864772;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864774;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864775;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864776;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864777;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864778;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864779;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864780;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864781;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864782;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864783;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864784;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864785;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864786;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864787;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864788;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864789;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864790;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864791;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864792;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864793;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864794;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864795;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864796;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864797;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864798;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864799;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864800;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864801;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864809;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864813;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864814;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864815;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864816;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864817;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864819;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864820;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864821;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864822;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864825;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864827;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864828;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864830;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864831;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864832;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864834;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864837;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864838;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864839;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864842;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864843;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864844;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864845;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864846;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864847;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864848;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864849;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864850;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864851;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864852;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864853;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864854;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864855;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864856;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864857;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864858;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864859;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864862;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864864;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864865;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864866;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864867;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864869;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864870;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864872;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864873;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864874;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864875;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864876;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864877;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864878;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864881;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864883;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864884;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864886;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864888;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864889;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864891;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864892;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864893;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864895;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864927;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864934;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864938;    
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864942;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864943;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864948;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_3189STDY5864949;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_33UCLB_AMP_LB;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_43UCESBL_BLUE1PLATE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_43UCESBL_BLUE2LB;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_43UCESBL_BLUE2PLATE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_43UCESBL_BLUE4LB;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_43UCKPCBLUE1_LB;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_43UCKPC_BLUE1LB;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_43UCKPC_BLUE1PLATE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_43UCLB_AMP_LB;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_46;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_47;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_48;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_49;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_4REI026-2;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_50;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_51;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_52;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_53;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_55;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_56;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_59;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_60;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_61;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_63;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_64;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_644/1566;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_647/1569;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_648/1570;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_649/1571;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_650/1572;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_654/1576,A;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_663/1591,3;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_666/1594;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_681/1612;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_68UCESBL_BLUE1LB;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_68UCESBL_BLUE2PLATE;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_68UCESBL_BLUE3LB;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_68UCKPC_BLUE1LB;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_68UCLB_AMP_LB;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_698/1642;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_738/1691,4;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_74;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_744/1800;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_746/1707;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_76;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_768/1733,3;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_77;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_784/1752;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_785/1754;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_789/1759;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_79;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_790/1761;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_847/1793;  Human, Homo sapiens  
;Klebsiella_pneumoniae_subsp._pneumoniae_strain_852/1802;  Human, Homo sapiens  
